pangram,num_words,score,outer_letters,middle_letter
abandoning,47,256,gnibao,d
abdicate,47,241,idatec,b
abducted,48,234,dbatec,u
abductee,46,197,udatec,b
abetting,57,299,gniate,b
abhorred,56,288,dbareo,h
abjured,31,117,jdbare,u
ablative,58,276,lvbate,i
abnormal,36,128,lbamro,n
abomination,53,298,nbamto,i
abortion,58,278,niarto,b
abounded,29,140,ndbaeo,u
aboveboard,45,241,dbareo,v
abundance,32,160,ndbaec,u
abutment,35,139,nbamte,u
abutting,31,146,gnibat,u
acceding,55,291,gnidae,c
accenting,49,290,gniate,c
acceptable,44,204,laptec,b
accommodate,50,225,damteo,c
accommodated,70,296,odmtec,a
accompany,30,137,oyapmc,n
accountancy,43,201,ouyatc,n
accruing,27,156,gniarc,u
accumulate,43,199,lamtec,u
acetylated,37,179,ldatec,y
acetylene,60,297,ylatec,n
achieved,32,134,idvaec,h
achiever,48,227,ivarec,h
acolyte,54,242,ylateo,c
acquaint,25,120,nqiatc,u
acquire,29,164,qiarec,u
acquirer,14,99,uiarec,q
acquittal,22,85,qilatc,u
acrobatic,54,268,oiartc,b
acronym,55,245,oyamrc,n
actinium,47,230,uiamtc,n
activated,43,269,idatec,v
activating,16,136,gniatc,v
activation,23,237,nciato,v
activator,53,237,ivartc,o
actuality,26,157,uliatc,y
actuarial,36,200,ilartc,u
actuating,25,139,gniatc,u
actuation,30,201,nciato,u
acutely,26,107,ylatec,u
adamantly,22,99,yldamt,n
adaptation,54,283,idapto,n
adapting,22,114,gniapt,d
adaption,52,297,ndapto,i
adaptive,46,216,dvapte,i
addicting,31,196,gniatc,d
addiction,35,218,nciato,d
additional,54,262,idlato,n
adductor,62,236,udartc,o
adenylate,39,190,nldate,y
adeptly,47,234,ldapte,y
adequacy,18,88,qydaec,u
adjacency,37,171,yjdaec,n
adjacent,44,258,njdate,c
adjoined,49,201,jdiaeo,n
adjoining,47,239,njdiao,g
adjoint,36,163,jdiato,n
adjourn,21,76,ujdaro,n
admitting,35,200,gniamt,d
admonition,40,226,niamto,d
adoption,22,119,niapto,d
adorably,41,202,ldbaro,y
adulthood,37,94,hudato,l
advancing,37,220,nidvac,g
advantage,44,225,ndvate,g
advantaged,30,160,gndate,v
advocate,53,245,dvatec,o
advocated,59,287,cvateo,d
aerobic,58,266,ibareo,c
aerofoil,70,284,flareo,i
affability,31,146,yilbat,f
affective,24,83,ivatec,f
affiliating,45,250,gnilat,f
affiliation,52,288,nilato,f
affirming,30,166,gniamr,f
affluence,33,124,nulaec,f
affluent,49,210,nulate,f
affluenza,26,91,nulzae,f
aficionado,33,143,foidac,n
aflutter,60,289,flarte,u
aftermarket,41,160,kamrte,f
aftermath,44,191,hamrte,f
afternoon,60,271,narteo,f
afterward,60,284,fdarte,w
aggrandizing,43,220,gnizar,d
aggravated,49,267,gdarte,v
aggravating,21,162,gniart,v
agitprop,30,115,iaprto,g
agonize,43,213,nizaeo,g
agreeably,63,291,glbare,y
agronomy,48,206,nyamro,g
aground,42,147,nudaro,g
aileron,66,275,nlareo,i
airborne,69,265,ibareo,n
airflow,42,159,oilarw,f
airlock,60,235,iklaro,c
airpower,24,107,oaprew,i
alacrity,47,296,liartc,y
albumen,42,164,nlbame,u
albumin,35,153,nlibam,u
alchemy,20,83,hlamec,y
alexander,59,262,xndare,l
alighting,46,270,gnliat,h
alimony,60,283,yliamo,n
aliphatic,45,174,liaptc,h
aliquot,28,78,uqiato,l
alkalinity,41,163,ylkiat,n
alkylated,34,146,lkdate,y
allegory,65,297,glareo,y
alligator,47,194,liarto,g
allograft,37,129,flarto,g
allowance,51,199,nlawec,o
allowing,61,295,gnliaw,o
alloying,36,191,gnliao,y
alluding,38,209,gnlida,u
alluring,49,264,gnliar,u
almoner,72,275,lamreo,n
alopecia,58,244,liapeo,c
alphabet,35,128,lbapte,h
alprazolam,37,141,zapmro,l
alright,35,153,hliart,g
although,30,114,hulato,g
altitude,38,181,lidate,u
altitudinal,29,131,nlidat,u
amalgamated,57,264,ldamte,g
ambiance,51,223,ibamec,n
ambience,44,212,nbamec,i
ambient,58,270,nbamte,i
ambition,39,188,niamto,b
ambling,44,252,gnliam,b
ambulant,41,139,nlbamt,u
amenity,24,128,niamte,y
amenorrhea,33,145,namreo,h
americium,30,156,iamrec,u
amiability,21,101,ilbamt,y
amicable,56,271,lbamec,i
amicably,25,127,ilbamc,y
ammunition,39,244,niamto,u
amoebic,33,128,ibameo,c
amoeboid,36,163,dbameo,i
amphibian,22,92,hnibpm,a
amphorae,42,178,apmreo,h
ampicillin,44,233,ilapmc,n
amplify,23,99,yliapm,f
ampoule,25,77,lapmeo,u
amputated,35,159,dapmte,u
amyloid,37,172,lidamo,y
anabolic,59,298,nlibao,c
analogue,59,230,unlaeo,g
analytic,49,278,yliatc,n
analytical,40,257,nliatc,y
analyzed,37,159,ylzdae,n
analyzer,29,115,ylzare,n
analyzing,48,269,nylzia,g
anarchical,29,123,nilarc,h
anchorman,34,174,onamrc,h
anchovy,24,111,hoyvac,n
ancillary,40,195,yilarc,n
androgyny,50,197,nydaro,g
anechoic,39,187,nciaeo,h
angiogenic,47,275,oniaec,g
angrily,38,219,gnilar,y
anhedonia,23,97,nidaeo,h
annexation,18,85,niateo,x
annihilate,49,215,nilate,h
annihilating,46,270,gnilat,h
annihilation,25,101,nilato,h
announced,60,298,nudaec,o
announcer,29,170,ncareo,u
announcing,37,211,nuciao,g
annoyingly,36,191,gnilao,y
annulment,53,233,nlamte,u
anodized,50,210,idzaeo,n
anodizing,51,271,nidzao,g
anonymity,22,121,niamto,y
anorexia,38,122,xiareo,n
antagonizing,16,109,gniato,z
antiaircraft,30,158,niartc,f
antibiotic,40,215,oniatc,b
anticipating,46,275,gniatc,p
anticlimactic,53,270,nilatc,m
antimalarial,56,297,ilamrt,n
antimony,49,276,nyamto,i
antioxidant,37,203,xidato,n
antipathy,31,132,hyiapt,n
antiphon,23,93,niapto,h
antiquarian,40,194,uqiart,n
antique,59,287,uqiate,n
antiquing,41,257,unqiat,g
antiquity,35,174,uqyiat,n
antiviral,36,171,ilvart,n
anxiety,43,192,xyiate,n
anymore,61,233,yamreo,n
anyplace,42,177,ylapec,n
anything,50,285,hnyiat,g
anywhere,22,79,nyarew,h
apathetic,62,299,iaptec,h
aperitif,64,274,iaprte,f
aplenty,39,218,nlapte,y
apocrypha,34,138,cyapro,h
apoplexy,25,115,xlapeo,y
appallingly,31,186,gnliap,y
appendix,59,298,xidape,n
appetizer,20,98,iaprte,z
applejack,35,118,jkapec,l
applicable,44,205,lbapec,i
applicant,51,251,liaptc,n
applique,30,125,qliape,u
apprehend,46,242,ndapre,h
approved,54,277,dapreo,v
aptitude,25,121,idapte,u
aqueduct,35,181,qdatec,u
aquifer,37,159,uqiare,f
aquiline,30,129,nqilae,u
arachnid,26,97,nidarc,h
arbitrarily,37,220,ilbart,y
arbitrating,50,290,gniart,b
arching,44,277,gniarc,h
archival,22,107,ilvarc,h
archive,58,299,hvarec,i
archrival,44,194,hlvarc,i
argonaut,49,225,unarto,g
arguably,33,130,uylbar,g
armadillo,47,163,ldamro,i
armoured,36,183,damreo,u
aromatic,59,279,iamrto,c
arpeggio,50,197,iapreo,g
arrhythmia,22,104,hiamrt,y
arrowhead,56,276,darweo,h
artfully,30,114,uylart,f
arthralgia,28,135,gliart,h
arthropod,29,114,daprto,h
articular,58,297,uilarc,t
artificial,42,190,ilartc,f
artillery,60,299,ilarte,y
athenaeum,36,174,unamte,h
atheneum,59,289,huamte,n
atomization,48,291,nzamto,i
atrocity,52,211,yiartc,o
atrophy,35,140,yaprto,h
attachable,47,220,hlatec,b
attachment,51,257,hnatec,m
attacking,29,149,gniatc,k
attenuating,37,208,gniate,u
attenuation,25,115,niateo,u
attitudinal,29,131,nidlat,u
attorney,47,208,narteo,y
attribute,35,152,ibarte,u
atypical,38,242,ilaptc,y
atypically,40,209,yilatc,p
audacity,20,105,uydatc,i
audible,42,197,idlbae,u
audibly,28,124,uidlba,y
audience,30,173,nidaec,u
auditing,28,172,gnidat,u
audition,27,121,nidato,u
auditor,20,81,idarto,u
augment,46,226,nuamte,g
auricle,48,238,ilarec,u
autobahn,25,78,hnbato,u
autocracy,54,235,uyartc,o
autocratic,63,268,uiartc,o
autodidact,29,131,uidato,c
autograft,33,119,fuarto,g
automated,24,119,damteo,u
automatic,29,122,uiamto,c
autonomy,29,131,nyamto,u
autopilot,23,80,ilapto,u
auxiliary,26,99,uxyiar,l
availability,20,128,ilvbat,y
avalanche,26,116,nlvaec,h
averagely,53,257,glvare,y
avoiding,49,262,nidvao,g
avuncular,25,106,nlvarc,u
awakening,47,268,nikaew,g
awarding,57,293,gniarw,d
awkwardly,26,119,lkdarw,y
axiomatic,30,122,xiamto,c
ayurveda,33,133,udvare,y
azurite,33,172,uzarte,i
bacchanalia,25,132,nlibac,h
bacchanalian,32,173,hlibac,n
backbench,21,92,nkbaec,h
backboard,36,155,kdbaro,c
backbone,51,162,okbaec,n
backdated,25,106,dbatec,k
backdoor,55,207,kdbarc,o
backfill,17,76,iklbac,f
backhand,25,83,hnkdbc,a
backhaul,37,122,hukbac,l
backhoe,28,110,ckbaeo,h
backing,34,199,nikbac,g
backlit,54,244,ikbatc,l
backlog,46,143,glkbac,o
backlot,67,213,lkbatc,o
backpacked,30,119,dbapec,k
backpacker,51,230,baprec,k
backroom,59,201,kbamrc,o
backward,15,77,kdbarw,c
backyard,34,119,ykdbrc,a
baffling,30,152,gnliba,f
bagpiper,56,247,ibapre,g
bailiwick,27,129,iklbaw,c
